,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
115,0.6846,Fri Jun 08 18:34:57 +0000 2018,0.08,0.651,0.269,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/kk5EWWDu3Q",16,@CBSNews
116,0.0,Fri Jun 08 18:25:45 +0000 2018,0.0,1.0,0.0,"MOMENTS AGO: President Trump and other G7 leaders take ""family photo"" at summit in Quebec https://t.co/gPokHDkAxK https://t.co/2e6r5Sma2o",17,@CBSNews
117,0.1531,Fri Jun 08 18:17:08 +0000 2018,0.106,0.758,0.136,NEW: Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime as… https://t.co/JSoRyS0o2A,18,@CBSNews
118,0.0,Fri Jun 08 18:05:10 +0000 2018,0.0,1.0,0.0,"Asia Argento, actress and girlfriend of late celebrity chef Anthony Bourdain, says she is ""beyond devastated""… https://t.co/E1PiOJQ0Ry",19,@CBSNews
119,-0.7319,Fri Jun 08 17:49:35 +0000 2018,0.305,0.618,0.077,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/4sYSqGriXa",20,@CBSNews
120,0.0,Fri Jun 08 17:34:47 +0000 2018,0.0,1.0,0.0,"Dennis Rodman says he will travel to Singapore ""for the historical summit"" between President Trump and North Korea'… https://t.co/E1bEYOh2Jp",21,@CBSNews
121,-0.6597,Fri Jun 08 17:19:56 +0000 2018,0.262,0.738,0.0,A woman who was out walking her dogs is missing after an alligator reportedly attacked her and dragged her into a p… https://t.co/3sxKN8vacS,22,@CBSNews
122,0.5859,Fri Jun 08 17:05:02 +0000 2018,0.0,0.758,0.242,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/ReUcxMpDnp",23,@CBSNews
123,0.431,Fri Jun 08 16:54:37 +0000 2018,0.142,0.645,0.213,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/7jWEIjbMYX",24,@CBSNews
124,-0.3182,Fri Jun 08 16:35:19 +0000 2018,0.141,0.859,0.0,"U.K. Foreign Secretary Boris Johnson talks Brexit ""meltdown,"" lauds President Trump in leaked audio… https://t.co/O0v2glyQZS",25,@CBSNews
125,0.4588,Fri Jun 08 16:28:11 +0000 2018,0.0,0.85,0.15,WATCH: Canadian Prime Minister Justin Trudeau and his wife welcome President Trump to Quebec for G7 summit… https://t.co/JZeotyPsPZ,26,@CBSNews
